ACC_X,ACC_Y,ACC_Z,PPG
28448,32316,32908,13059
28320,31668,33296,13026
27968,31472,33132,12981
25956,30864,33812,12944
24356,30796,34276,12916
22304,30652,34468,12890
20700,30164,35056,12863
20864,30292,35856,12842
21740,30680,36352,12833
23436,31292,35000,12838
23256,29260,35572,12840
23152,29392,35200,12842
24876,29220,34932,12841
25936,29940,34980,12846
26220,30180,34860,12852
25744,30004,34960,12839
25788,29852,34716,12807
25732,30180,35004,12777
24940,29460,35440,12757
22500,29828,35816,12745
20068,29704,36136,12732
20812,30828,35784,12721
23352,30560,35400,12716
23732,30652,35036,12712
22584,31200,34704,12710
22852,31620,34020,12706
24452,31656,33516,12703
24884,31160,33632,12704
26060,30732,33524,12705
26904,31232,33232,12707
27460,31460,33180,12700
27080,31388,33480,12686
24832,31100,33960,12668
23780,30848,34172,12649
23048,30496,34396,12634
22840,30212,34712,12622
22920,30512,35136,12617
23164,30684,35996,12628
24000,31304,35088,12643
24432,31020,34460,12656
24380,30172,35172,12666
24640,29700,35140,12675
25340,29808,35148,12686
25508,29680,35396,12703
25532,30136,35312,12723
26000,30264,34928,12738
26192,29960,35108,12746
25016,29520,35120,12742
23972,29792,34836,12738
22136,30224,34988,12734
20876,30260,35116,12731
21500,30312,34864,12732
22636,30180,34864,12737
23060,30784,34596,12744
23500,31360,33948,12768
23408,33488,34768,12780
24524,32872,33760,12788
25956,31612,33516,12791
26768,30988,33340,12800
27068,30840,33212,12813
26636,31448,33600,12826
25084,31008,33828,12838
23872,30708,33968,12834
21188,30292,34408,12822
20984,29764,34916,12808
25244,30352,35952,12796
24232,31500,35956,12805
23776,32160,33620,12839
23636,30532,35256,12857
25164,29828,35284,12867
26088,29528,35004,12880
26312,29652,35116,12892
25976,30152,35032,12904
25612,30296,35216,12918
25744,30164,35116,12934
25620,29720,35068,12945
24416,29536,35368,12963
23488,30008,35432,12974
21508,30048,35748,12984
21048,30396,35624,12977
23780,30352,34908,12971
24664,30320,34844,12971
23284,29992,34820,12977
22168,30208,34744,12982
23380,31156,34236,12987
24408,31252,34140,12994
25592,31224,33804,12998
26376,31152,33620,13006
27164,31156,33580,13015
27792,31220,33676,13028
27608,31092,33904,13042
26368,30932,34120,13062
25052,30716,34376,13079
24328,30616,34476,13089
22956,30520,34848,13091
21628,30200,34928,13089
22196,30152,35344,13078
23096,30016,36248,13068
23792,30532,35112,13070
23356,30184,34904,13083
24040,30380,35040,13083
25816,29832,34544,13085
25852,29692,34772,13088
25836,29640,34588,13090
25924,29664,34652,13102
26092,29836,35056,13117
25928,30104,34968,13132
25484,29720,35212,13148
24144,29740,35688,13158
23584,30156,35392,13167
23600,30568,35392,13172
21260,29800,35988,13173
22020,30632,35552,13176
22960,30748,34864,13167
21704,30748,34720,13154
22168,30632,34372,13138
23528,30756,34412,13124
24608,31108,34032,13118
25604,31448,33688,13115
26744,31848,33456,13113
27568,31912,33472,13116
